"Race","County","Candidate","Party","Votes"
"US President and Vice President","Boyle","Brock PIERCE Karla BALLARD","Independent","24"
"US President and Vice President","Boyle","Howie HAWKINS Angela WALKER","WriteIn","9"
"US President and Vice President","Boyle","Brian CARROLL Amar PATEL","WriteIn","2"
"US President and Vice President","Boyle","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Boyle","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Boyle","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Boyle","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Boyle","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Boyle","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Boyle","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Boyle","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Boyle","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Bracken","Donald J TRUMP Michael R PENCE","Republican Party","3398"
"US President and Vice President","Bracken","Joseph R BIDEN Kamala D HARRIS","Democratic Party","800"
"US President and Vice President","Bracken","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","27"
"US President and Vice President","Bracken","Kanye WEST Michelle TIDBALL","Independent","11"
"US President and Vice President","Bracken","Brock PIERCE Karla BALLARD","Independent","8"
"US President and Vice President","Bracken","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Bracken","Brian CARROLL Amar PATEL","WriteIn","2"
"US President and Vice President","Bracken","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Bracken","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Bracken","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Bracken","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Bracken","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Bracken","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Bracken","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Bracken","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Bracken","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Breathitt","Donald J TRUMP Michael R PENCE","Republican Party","4265"
"US President and Vice President","Breathitt","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1301"
"US President and Vice President","Breathitt","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","52"
"US President and Vice President","Breathitt","Kanye WEST Michelle TIDBALL","Independent","31"
"US President and Vice President","Breathitt","Brock PIERCE Karla BALLARD","Independent","12"
"US President and Vice President","Breathitt","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Breathitt","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Breathitt","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Breathitt","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Breathitt","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Breathitt","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Breathitt","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Breathitt","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Breathitt","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Breathitt","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Breathitt","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Breckinridge","Donald J TRUMP Michael R PENCE","Republican Party","7701"
"US President and Vice President","Breckinridge","Joseph R BIDEN Kamala D HARRIS","Democratic Party","2350"
"US President and Vice President","Breckinridge","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","103"
"US President and Vice President","Breckinridge","Kanye WEST Michelle TIDBALL","Independent","24"
"US President and Vice President","Breckinridge","Brock PIERCE Karla BALLARD","Independent","19"
"US President and Vice President","Breckinridge","Howie HAWKINS Angela WALKER","WriteIn","3"
"US President and Vice President","Breckinridge","Brian CARROLL Amar PATEL","WriteIn","1"
"US President and Vice President","Breckinridge","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Breckinridge","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Breckinridge","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
