"Race","County","Candidate","Party","Votes"
"US President and Vice President","Grant","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Grant","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Grant","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Grant","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Graves","Donald J TRUMP Michael R PENCE","Republican Party","13206"
"US President and Vice President","Graves","Joseph R BIDEN Kamala D HARRIS","Democratic Party","3560"
"US President and Vice President","Graves","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","187"
"US President and Vice President","Graves","Kanye WEST Michelle TIDBALL","Independent","36"
"US President and Vice President","Graves","Brock PIERCE Karla BALLARD","Independent","30"
"US President and Vice President","Graves","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Graves","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Graves","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Graves","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Graves","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Graves","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Graves","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Graves","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Graves","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Graves","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Graves","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Grayson","Donald J TRUMP Michael R PENCE","Republican Party","9453"
"US President and Vice President","Grayson","Joseph R BIDEN Kamala D HARRIS","Democratic Party","2400"
"US President and Vice President","Grayson","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","85"
"US President and Vice President","Grayson","Kanye WEST Michelle TIDBALL","Independent","33"
"US President and Vice President","Grayson","Brock PIERCE Karla BALLARD","Independent","12"
"US President and Vice President","Grayson","Howie HAWKINS Angela WALKER","WriteIn","1"
"US President and Vice President","Grayson","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Grayson","Gloria LA RIVA Sunil FREEMAN","WriteIn","1"
"US President and Vice President","Grayson","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Grayson","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Grayson","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Grayson","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Grayson","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Grayson","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Grayson","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Grayson","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Green","Donald J TRUMP Michael R PENCE","Republican Party","4838"
"US President and Vice President","Green","Joseph R BIDEN Kamala D HARRIS","Democratic Party","920"
"US President and Vice President","Green","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","29"
"US President and Vice President","Green","Kanye WEST Michelle TIDBALL","Independent","18"
"US President and Vice President","Green","Brock PIERCE Karla BALLARD","Independent","7"
"US President and Vice President","Green","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Green","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Green","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Green","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Green","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Green","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Green","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Green","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Green","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Green","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Green","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Greenup","Donald J TRUMP Michael R PENCE","Republican Party","13064"
"US President and Vice President","Greenup","Joseph R BIDEN Kamala D HARRIS","Democratic Party","4873"
"US President and Vice President","Greenup","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","178"
"US President and Vice President","Greenup","Kanye WEST Michelle TIDBALL","Independent","28"
"US President and Vice President","Greenup","Brock PIERCE Karla BALLARD","Independent","33"
"US President and Vice President","Greenup","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Greenup","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Greenup","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Greenup","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Greenup","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Greenup","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Greenup","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Greenup","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Greenup","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Greenup","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Greenup","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Hancock","Donald J TRUMP Michael R PENCE","Republican Party","3145"
"US President and Vice President","Hancock","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1351"
"US President and Vice President","Hancock","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","67"
"US President and Vice President","Hancock","Kanye WEST Michelle TIDBALL","Independent","14"
"US President and Vice President","Hancock","Brock PIERCE Karla BALLARD","Independent","10"
"US President and Vice President","Hancock","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Hancock","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Hancock","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Hancock","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Hancock","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Hancock","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Hancock","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Hancock","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Hancock","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Hancock","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Hancock","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Hardin","Donald J TRUMP Michael R PENCE","Republican Party","29832"
"US President and Vice President","Hardin","Joseph R BIDEN Kamala D HARRIS","Democratic Party","18101"
"US President and Vice President","Hardin","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","753"
"US President and Vice President","Hardin","Kanye WEST Michelle TIDBALL","Independent","151"
"US President and Vice President","Hardin","Brock PIERCE Karla BALLARD","Independent","104"
"US President and Vice President","Hardin","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Hardin","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Hardin","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Hardin","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Hardin","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Hardin","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Hardin","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Hardin","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Hardin","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Hardin","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Hardin","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Harlan","Donald J TRUMP Michael R PENCE","Republican Party","9367"
"US President and Vice President","Harlan","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1494"
"US President and Vice President","Harlan","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","81"
"US President and Vice President","Harlan","Kanye WEST Michelle TIDBALL","Independent","16"
"US President and Vice President","Harlan","Brock PIERCE Karla BALLARD","Independent","13"
"US President and Vice President","Harlan","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Harlan","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Harlan","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Harlan","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Harlan","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Harlan","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Harlan","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Harlan","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Harlan","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Harlan","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Harlan","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Harrison","Donald J TRUMP Michael R PENCE","Republican Party","6334"
"US President and Vice President","Harrison","Joseph R BIDEN Kamala D HARRIS","Democratic Party","2400"
"US President and Vice President","Harrison","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","85"
"US President and Vice President","Harrison","Kanye WEST Michelle TIDBALL","Independent","14"
"US President and Vice President","Harrison","Brock PIERCE Karla BALLARD","Independent","20"
"US President and Vice President","Harrison","Howie HAWKINS Angela WALKER","WriteIn","4"
"US President and Vice President","Harrison","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Harrison","Gloria LA RIVA Sunil FREEMAN","WriteIn","2"
"US President and Vice President","Harrison","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Harrison","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Harrison","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Harrison","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Harrison","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Harrison","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Harrison","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Harrison","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Hart","Donald J TRUMP Michael R PENCE","Republican Party","6345"
"US President and Vice President","Hart","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1908"
"US President and Vice President","Hart","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","76"
"US President and Vice President","Hart","Kanye WEST Michelle TIDBALL","Independent","22"
"US President and Vice President","Hart","Brock PIERCE Karla BALLARD","Independent","18"
"US President and Vice President","Hart","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Hart","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Hart","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Hart","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Hart","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Hart","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Hart","Shawn HOWARD Alyssa HOWARD","WriteIn","1"
"US President and Vice President","Hart","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Hart","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Hart","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Hart","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Henderson","Donald J TRUMP Michael R PENCE","Republican Party","12730"
"US President and Vice President","Henderson","Joseph R BIDEN Kamala D HARRIS","Democratic Party","7639"
"US President and Vice President","Henderson","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","244"
"US President and Vice President","Henderson","Kanye WEST Michelle TIDBALL","Independent","50"
"US President and Vice President","Henderson","Brock PIERCE Karla BALLARD","Independent","25"
"US President and Vice President","Henderson","Howie HAWKINS Angela WALKER","WriteIn","6"
"US President and Vice President","Henderson","Brian CARROLL Amar PATEL","WriteIn","2"
"US President and Vice President","Henderson","Gloria LA RIVA Sunil FREEMAN","WriteIn","1"
"US President and Vice President","Henderson","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Henderson","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Henderson","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Henderson","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Henderson","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Henderson","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Henderson","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Henderson","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Henry","Donald J TRUMP Michael R PENCE","Republican Party","5843"
"US President and Vice President","Henry","Joseph R BIDEN Kamala D HARRIS","Democratic Party","2142"
"US President and Vice President","Henry","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","86"
"US President and Vice President","Henry","Kanye WEST Michelle TIDBALL","Independent","19"
"US President and Vice President","Henry","Brock PIERCE Karla BALLARD","Independent","17"
"US President and Vice President","Henry","Howie HAWKINS Angela WALKER","WriteIn","3"
"US President and Vice President","Henry","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Henry","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Henry","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Henry","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Henry","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Henry","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Henry","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Henry","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Henry","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Henry","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Hickman","Donald J TRUMP Michael R PENCE","Republican Party","1714"
"US President and Vice President","Hickman","Joseph R BIDEN Kamala D HARRIS","Democratic Party","458"
"US President and Vice President","Hickman","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","21"
"US President and Vice President","Hickman","Kanye WEST Michelle TIDBALL","Independent","2"
"US President and Vice President","Hickman","Brock PIERCE Karla BALLARD","Independent","4"
"US President and Vice President","Hickman","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Hickman","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Hickman","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Hickman","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Hickman","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Hickman","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Hickman","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Hickman","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Hickman","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Hickman","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Hickman","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Hopkins","Donald J TRUMP Michael R PENCE","Republican Party","15757"
"US President and Vice President","Hopkins","Joseph R BIDEN Kamala D HARRIS","Democratic Party","5439"
"US President and Vice President","Hopkins","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","226"
"US President and Vice President","Hopkins","Kanye WEST Michelle TIDBALL","Independent","63"
"US President and Vice President","Hopkins","Brock PIERCE Karla BALLARD","Independent","24"
"US President and Vice President","Hopkins","Howie HAWKINS Angela WALKER","WriteIn","3"
"US President and Vice President","Hopkins","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Hopkins","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Hopkins","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Hopkins","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Hopkins","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Hopkins","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Hopkins","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Hopkins","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Hopkins","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Hopkins","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Jackson","Donald J TRUMP Michael R PENCE","Republican Party","5453"
"US President and Vice President","Jackson","Joseph R BIDEN Kamala D HARRIS","Democratic Party","605"
"US President and Vice President","Jackson","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","33"
"US President and Vice President","Jackson","Kanye WEST Michelle TIDBALL","Independent","15"
"US President and Vice President","Jackson","Brock PIERCE Karla BALLARD","Independent","7"
"US President and Vice President","Jackson","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Jackson","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Jackson","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Jackson","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Jackson","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Jackson","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Jackson","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Jackson","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Jackson","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Jackson","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Jackson","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Jefferson","Donald J TRUMP Michael R PENCE","Republican Party","150646"
"US President and Vice President","Jefferson","Joseph R BIDEN Kamala D HARRIS","Democratic Party","228358"
"US President and Vice President","Jefferson","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","4782"
"US President and Vice President","Jefferson","Kanye WEST Michelle TIDBALL","Independent","1660"
"US President and Vice President","Jefferson","Brock PIERCE Karla BALLARD","Independent","749"
"US President and Vice President","Jefferson","Howie HAWKINS Angela WALKER","WriteIn","220"
"US President and Vice President","Jefferson","Brian CARROLL Amar PATEL","WriteIn","147"
"US President and Vice President","Jefferson","Gloria LA RIVA Sunil FREEMAN","WriteIn","38"
"US President and Vice President","Jefferson","Mark CHARLES Adrian WALLACE","WriteIn","6"
"US President and Vice President","Jefferson","Jade SIMMONS Claudeliah J ROZE","WriteIn","17"
"US President and Vice President","Jefferson","Tom HOEFLING Andy PRIOR","WriteIn","4"
"US President and Vice President","Jefferson","Shawn HOWARD Alyssa HOWARD","WriteIn","1"
"US President and Vice President","Jefferson","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Jefferson","Kasey W ELLS Rachel WELLS","WriteIn","1"
"US President and Vice President","Jefferson","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Jefferson","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Jessamine","Donald J TRUMP Michael R PENCE","Republican Party","17096"
"US President and Vice President","Jessamine","Joseph R BIDEN Kamala D HARRIS","Democratic Party","8567"
"US President and Vice President","Jessamine","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","447"
"US President and Vice President","Jessamine","Kanye WEST Michelle TIDBALL","Independent","92"
"US President and Vice President","Jessamine","Brock PIERCE Karla BALLARD","Independent","49"
"US President and Vice President","Jessamine","Howie HAWKINS Angela WALKER","WriteIn","5"
"US President and Vice President","Jessamine","Brian CARROLL Amar PATEL","WriteIn","22"
"US President and Vice President","Jessamine","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Jessamine","Mark CHARLES Adrian WALLACE","WriteIn","2"
"US President and Vice President","Jessamine","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Jessamine","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Jessamine","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Jessamine","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Jessamine","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Jessamine","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Jessamine","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Johnson","Donald J TRUMP Michael R PENCE","Republican Party","8450"
"US President and Vice President","Johnson","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1608"
"US President and Vice President","Johnson","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","77"
"US President and Vice President","Johnson","Kanye WEST Michelle TIDBALL","Independent","31"
"US President and Vice President","Johnson","Brock PIERCE Karla BALLARD","Independent","26"
"US President and Vice President","Johnson","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Johnson","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Johnson","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Johnson","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Johnson","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Johnson","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Johnson","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Johnson","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Johnson","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Johnson","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Johnson","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Kenton","Donald J TRUMP Michael R PENCE","Republican Party","48129"
"US President and Vice President","Kenton","Joseph R BIDEN Kamala D HARRIS","Democratic Party","32271"
"US President and Vice President","Kenton","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","1360"
"US President and Vice President","Kenton","Kanye WEST Michelle TIDBALL","Independent","225"
"US President and Vice President","Kenton","Brock PIERCE Karla BALLARD","Independent","135"
"US President and Vice President","Kenton","Howie HAWKINS Angela WALKER","WriteIn","53"
"US President and Vice President","Kenton","Brian CARROLL Amar PATEL","WriteIn","17"
"US President and Vice President","Kenton","Gloria LA RIVA Sunil FREEMAN","WriteIn","4"
"US President and Vice President","Kenton","Mark CHARLES Adrian WALLACE","WriteIn","1"
"US President and Vice President","Kenton","Jade SIMMONS Claudeliah J ROZE","WriteIn","2"
"US President and Vice President","Kenton","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Kenton","Shawn HOWARD Alyssa HOWARD","WriteIn","1"
"US President and Vice President","Kenton","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Kenton","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Kenton","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Kenton","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Knott","Donald J TRUMP Michael R PENCE","Republican Party","4780"
"US President and Vice President","Knott","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1412"
"US President and Vice President","Knott","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","28"
"US President and Vice President","Knott","Kanye WEST Michelle TIDBALL","Independent","15"
"US President and Vice President","Knott","Brock PIERCE Karla BALLARD","Independent","17"
"US President and Vice President","Knott","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Knott","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Knott","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Knott","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Knott","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Knott","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Knott","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Knott","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Knott","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Knott","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Knott","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Knox","Donald J TRUMP Michael R PENCE","Republican Party","11012"
"US President and Vice President","Knox","Joseph R BIDEN Kamala D HARRIS","Democratic Party","2114"
"US President and Vice President","Knox","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","109"
"US President and Vice President","Knox","Kanye WEST Michelle TIDBALL","Independent","32"
"US President and Vice President","Knox","Brock PIERCE Karla BALLARD","Independent","6"
"US President and Vice President","Knox","Howie HAWKINS Angela WALKER","WriteIn","0"
"US President and Vice President","Knox","Brian CARROLL Amar PATEL","WriteIn","0"
"US President and Vice President","Knox","Gloria LA RIVA Sunil FREEMAN","WriteIn","0"
"US President and Vice President","Knox","Mark CHARLES Adrian WALLACE","WriteIn","0"
"US President and Vice President","Knox","Jade SIMMONS Claudeliah J ROZE","WriteIn","0"
"US President and Vice President","Knox","Tom HOEFLING Andy PRIOR","WriteIn","0"
"US President and Vice President","Knox","Shawn HOWARD Alyssa HOWARD","WriteIn","0"
"US President and Vice President","Knox","President R19 BODDIE Eric C STONEHAM","WriteIn","0"
"US President and Vice President","Knox","Kasey W ELLS Rachel WELLS","WriteIn","0"
"US President and Vice President","Knox","Timothy Allen STEVENS Susan Congleton FLETCHER","WriteIn","0"
"US President and Vice President","Knox","Mary Ruth Caro SIMMONS Sherri DOW","WriteIn","0"
"US President and Vice President","Larue","Donald J TRUMP Michael R PENCE","Republican Party","5685"
"US President and Vice President","Larue","Joseph R BIDEN Kamala D HARRIS","Democratic Party","1504"
"US President and Vice President","Larue","Jo JORGENSEN Jeremy Spike COHEN","Libertarian Party","86"
